coach_type,phase,section,task
Motor,Completion,BUP,Air - 3 - Way Cocks A16/A20
Motor,Completion,BUP,Air - Air Filter A12 Fit 
Motor,Completion,BUP,Air - Air Filter A15 Fit 
Motor,Completion,BUP,Air - Compressor: Rotary Screw Type
Motor,Completion,BUP,Air - Door Pressure Reducing Valve A18 - 
Motor,Completion,BUP,Air - Drivers Air Pressure Gauge 0-1000 Kpa 
Motor,Completion,BUP,Air - Drivers Air Pressure Gauge A21 - 
Motor,Completion,BUP,Air - Duplex Check Valve A14 - 
Motor,Completion,BUP,Air - Fit  Rotary Screw Compressor C/W Ac Motor Drive & Invertor
Motor,Completion,BUP,Air - Fit Auxiliary Compressor & Piping
Motor,Completion,BUP,Air - Foot Valve  (Festo Type)
Motor,Completion,BUP,Air - Hooter  & Fit Dual Foot Pedal/Valve
Motor,Completion,BUP,Air - Intercooler Pipe 
Motor,Completion,BUP,"Air - Isolating Cocks  1/2"""
Motor,Completion,BUP,"Air - Isolating Cocks  3/4"" "
Motor,Completion,BUP,Air - Motor Coach; Air Reservoirs - 
Motor,Completion,BUP,Air - Motor Coaches: Air Supply Pipes & Hoses
Motor,Completion,BUP,Air - Pressure Governor (Main) 
Motor,Completion,BUP,Air - Safety Valve 
Motor,Completion,BUP,Air - Test Air Supply System
Motor,Completion,BUP,"Air - Windscreen, Wiper Motor & Controller, Pneumatic"
Motor,Completion,BUP,Body - Bogie Pin Cover Plate
Motor,Completion,BUP,Body - Fit Shaft Encoders
Baggage Van,Completion,BUP,Bodywork & Attachments (Excl. Interior Trim) - Block Bumper Rubber Block
KP-1 to Car Carrier,Completion,BUP,Bodywork & Attachments (Excl. Interior Trim) - Block Bumper Rubber Block
Power Car,Completion,BUP,Bodywork & Attachments (Excl. Interior Trim) - Block Bumper Rubber Block
Baggage Van,Completion,BUP,Bodywork & Attachments (Excl. Interior Trim) - Rubber Stop Bumper
KP-1 to Car Carrier,Completion,BUP,Bodywork & Attachments (Excl. Interior Trim) - Rubber Stop Bumper
Power Car,Completion,BUP,Bodywork & Attachments (Excl. Interior Trim) - Rubber Stop Bumper
Motor,Completion,BUP,Bogies -  Fit Spring Cups
Baggage Van,Completion,BUP,Bogies - Fit  Anchor Bolts
Diner,Completion,BUP,Bogies - Fit  Anchor Bolts
Kitchen,Completion,BUP,Bogies - Fit  Anchor Bolts
KP-1 to Car Carrier,Completion,BUP,Bogies - Fit  Anchor Bolts
Power Car,Completion,BUP,Bogies - Fit  Anchor Bolts
Sitter,Completion,BUP,Bogies - Fit  Anchor Bolts
Sleeper,Completion,BUP,Bogies - Fit  Anchor Bolts
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Bogies - Fit  Anchor Bolts
Baggage Van,Completion,BUP,Bogies - Fit  Swing Hanger
Diner,Completion,BUP,Bogies - Fit  Swing Hanger
Kitchen,Completion,BUP,Bogies - Fit  Swing Hanger
KP-1 to Car Carrier,Completion,BUP,Bogies - Fit  Swing Hanger
Power Car,Completion,BUP,Bogies - Fit  Swing Hanger
Sitter,Completion,BUP,Bogies - Fit  Swing Hanger
Sleeper,Completion,BUP,Bogies - Fit  Swing Hanger
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Bogies - Fit  Swing Hanger
Baggage Van,Completion,BUP,Bogies - Fit Bolster 
Diner,Completion,BUP,Bogies - Fit Bolster 
Kitchen,Completion,BUP,Bogies - Fit Bolster 
KP-1 to Car Carrier,Completion,BUP,Bogies - Fit Bolster 
Power Car,Completion,BUP,Bogies - Fit Bolster 
Sitter,Completion,BUP,Bogies - Fit Bolster 
Sleeper,Completion,BUP,Bogies - Fit Bolster 
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Bogies - Fit Bolster 
Baggage Van,Completion,Electrical,Bogies - Fit Earth Straps
Diner,Completion,Electrical,Bogies - Fit Earth Straps
Kitchen,Completion,Electrical,Bogies - Fit Earth Straps
KP-1 to Car Carrier,Completion,Electrical,Bogies - Fit Earth Straps
Motor,Completion,Electrical,Bogies - Fit Earth Straps
Power Car,Completion,Electrical,Bogies - Fit Earth Straps
Sitter,Completion,Electrical,Bogies - Fit Earth Straps
Sleeper,Completion,Electrical,Bogies - Fit Earth Straps
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Electrical,Bogies - Fit Earth Straps
Baggage Van,Completion,BUP,Bogies - Fit Equalising Beam 
Diner,Completion,BUP,Bogies - Fit Equalising Beam 
Kitchen,Completion,BUP,Bogies - Fit Equalising Beam 
KP-1 to Car Carrier,Completion,BUP,Bogies - Fit Equalising Beam 
Power Car,Completion,BUP,Bogies - Fit Equalising Beam 
Sitter,Completion,BUP,Bogies - Fit Equalising Beam 
Sleeper,Completion,BUP,Bogies - Fit Equalising Beam 
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Bogies - Fit Equalising Beam 
Motor,Completion,BUP,Bogies - Fit Odometers - Motor Coach
Baggage Van,Completion,BUP,Bogies - Fit Pedestal Liners
Diner,Completion,BUP,Bogies - Fit Pedestal Liners
Kitchen,Completion,BUP,Bogies - Fit Pedestal Liners
KP-1 to Car Carrier,Completion,BUP,Bogies - Fit Pedestal Liners
Motor,Completion,BUP,Bogies - Fit Pedestal Liners
Power Car,Completion,BUP,Bogies - Fit Pedestal Liners
Sitter,Completion,BUP,Bogies - Fit Pedestal Liners
Sleeper,Completion,BUP,Bogies - Fit Pedestal Liners
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Bogies - Fit Pedestal Liners
Motor,Completion,BUP,Bogies - Fit Shaft Encoders
Baggage Van,Completion,BUP,Bogies - Fit Snubbers
Diner,Completion,BUP,Bogies - Fit Snubbers
Kitchen,Completion,BUP,Bogies - Fit Snubbers
KP-1 to Car Carrier,Completion,BUP,Bogies - Fit Snubbers
Power Car,Completion,BUP,Bogies - Fit Snubbers
Sitter,Completion,BUP,Bogies - Fit Snubbers
Sleeper,Completion,BUP,Bogies - Fit Snubbers
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Bogies - Fit Snubbers
Motor,Completion,BUP,"Bogies - Fit Springs, Metro Class, Mc, Equalising Beam, "
Baggage Van,Completion,BUP,Bogies - Fit Wheels
Motor,Completion,BUP,Bogies - Fit Wheels
Motor,Completion,BUP,Brake - Fit  Vacuum Brake Release Wire
Motor,Completion,BUP,Brake - Fit Air/Vacuum Pipes
Motor,Completion,BUP,Brake - Fit Brake Blocks 
Motor,Completion,BUP,Brake - Fit Double Vacuum Gauge
Motor,Completion,BUP,Brake - Fit Drivers Brake Valve B1 -  (Emergency)
Motor,Completion,BUP,Brake - Fit EVV
Motor,Completion,BUP,Brake - Fit Exhauster Cut-Out Valve 
Motor,Completion,BUP,Brake - Fit Exhauster Cut-Out Valve  
Motor,Completion,BUP,Brake - Fit Motor Coach Handbrake
Motor,Completion,BUP,Brake - Fit QSA 
Motor,Completion,BUP,Brake - Fit Slack Adjuster
Motor,Completion,BUP,Brake - Fit Snifter Valve B10
Motor,Completion,BUP,Brake - Fit Vacuum Chamber B17 
Motor,Completion,BUP,Brake - Fit Vacuum Emergency Valve B2 - 
Motor,Completion,BUP,Brake - Fit Vacuum Hoses 
Motor,Completion,BUP,Brake - Fit Vacuum Piping ?  & Test
Motor,Completion,BUP,Brake - Fit Valve Vacuum Regulator (Snifter )  Type
Motor,Completion,BUP,Brake - Perform  Vacuum Test & Brake Adjustment
Motor,Completion,BUP,Brake - Perform Underframe Brake Rigging  ? Motor Coach
Motor,Completion,BUP,Brake -Fit  Vacuum Cylinder 
Motor,Completion,BUP,Brake -Fit Trunnion & Brackets
Baggage Van,Completion,BUP,Interior Trim/Fittings- Fit Bogie Pin Cover Plate
Diner,Completion,BUP,Interior Trim/Fittings- Fit Bogie Pin Cover Plate
Kitchen,Completion,BUP,Interior Trim/Fittings- Fit Bogie Pin Cover Plate
KP-1 to Car Carrier,Completion,BUP,Interior Trim/Fittings- Fit Bogie Pin Cover Plate
Power Car,Completion,BUP,Interior Trim/Fittings- Fit Bogie Pin Cover Plate
Sitter,Completion,BUP,Interior Trim/Fittings- Fit Bogie Pin Cover Plate
Sleeper,Completion,BUP,Interior Trim/Fittings- Fit Bogie Pin Cover Plate
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Interior Trim/Fittings- Fit Bogie Pin Cover Plate
Motor,Completion,BUP,Rotating Machines - Fit Motor Nose Suspension - 
Motor,Completion,BUP,Rotating Machines - Fit Traction Motor Suspension Units
Baggage Van,Stripping,BUP,Strip Bogie
Kitchen,Stripping,BUP,Strip Bogie
Motor,Stripping,BUP,Strip Bogie
Power Car,Stripping,BUP,Strip Bogie
Sitter,Stripping,BUP,Strip Bogie
Sleeper,Stripping,BUP,Strip Bogie
Trailer,Stripping,BUP,Strip Bogie
Baggage Van,Stripping,BUP,Strip Coach Sole Bar
Diner,Stripping,BUP,Strip Coach Sole Bar
Kitchen,Stripping,BUP,Strip Coach Sole Bar
KP-1 to Car Carrier,Stripping,BUP,Strip Coach Sole Bar
Motor,Stripping,BUP,Strip Coach Sole Bar
Power Car,Stripping,BUP,Strip Coach Sole Bar
Sitter,Stripping,BUP,Strip Coach Sole Bar
Sleeper,Stripping,BUP,Strip Coach Sole Bar
"Staff Book Off (Lounge, Kitchen, Sleeper)",Stripping,BUP,Strip Coach Sole Bar
Trailer,Stripping,BUP,Strip Coach Sole Bar
Baggage Van,Stripping,BUP,Strip Loose Components
Diner,Stripping,BUP,Strip Loose Components
Kitchen,Stripping,BUP,Strip Loose Components
KP-1 to Car Carrier,Stripping,BUP,Strip Loose Components
Motor,Stripping,BUP,Strip Loose Components
Power Car,Stripping,BUP,Strip Loose Components
Sitter,Stripping,BUP,Strip Loose Components
Sleeper,Stripping,BUP,Strip Loose Components
"Staff Book Off (Lounge, Kitchen, Sleeper)",Stripping,BUP,Strip Loose Components
Trailer,Stripping,BUP,Strip Loose Components
Baggage Van,Stripping,BUP,Strip Underframe
Diner,Stripping,BUP,Strip Underframe
Kitchen,Stripping,BUP,Strip Underframe
KP-1 to Car Carrier,Stripping,BUP,Strip Underframe
Motor,Stripping,BUP,Strip Underframe
Power Car,Stripping,BUP,Strip Underframe
Sitter,Stripping,BUP,Strip Underframe
Sleeper,Stripping,BUP,Strip Underframe
"Staff Book Off (Lounge, Kitchen, Sleeper)",Stripping,BUP,Strip Underframe
Trailer,Stripping,BUP,Strip Underframe
Motor,Completion,BUP,Transmission - Fit Gear Cases 
Motor,Completion,BUP,Underframe -  Fit Coupler Knuckle
Motor,Completion,BUP,Underframe -  Fit Coupler Knuckle Pin
Motor,Completion,BUP,Underframe -  Fit Coupler Operating Lever
Motor,Completion,BUP,Underframe -  Fit iCoupler Lock Lifter
Motor,Completion,BUP,Underframe -  Fit Rear Yoke
Motor,Completion,BUP,Underframe -  Fit Slide Plungers
Motor,Completion,BUP,Underframe - Fit  2 X Coupler Shank Bushes
Motor,Completion,BUP,Underframe - Fit  Coupler Lock
Motor,Completion,BUP,Underframe - Fit  Coupler Lock Lifter Pin
Motor,Completion,BUP,Underframe - Fit  Coupler Wearing Plate
Motor,Completion,BUP,Underframe - Fit Carrier Plate
Motor,Completion,BUP,Underframe - Fit Coupler
Motor,Completion,BUP,Underframe - Fit Cow Catcher 
Motor,Completion,BUP,"Underframe - Fit Cradles, Cabinets & Grid Covers"
Motor,Completion,BUP,Underframe - Fit Draw Gear System 
Motor,Completion,BUP,Underframe - Fit Guide Coupler 
Motor,Completion,BUP,"Underframe - Fit Guide Vestibule Buffer Rod, Inner & Outer - "
Motor,Completion,BUP,Underframe - Fit iSupport Brackets & Safety Loops 
Motor,Completion,BUP,Underframe - Fit Pull Rod Wheel
Motor,Completion,BUP,Underframe - Fit Side Lever Pin
Motor,Completion,BUP,Underframe - Fit Side Plunger Guide Bracket & Spring
Motor,Completion,BUP,Underframe - Fit Stops Front & Rear 
Motor,Completion,BUP,Underframe - Fit Underframe Equipment
Motor,Completion,BUP,Underframe - Fit Vestibule Buffer
Motor,Completion,BUP,Underframe - Fit Vestibule Buffer Plate - 
Motor,Completion,BUP,Underframe - Fit Vestibule Buffer Rod
Motor,Completion,BUP,Underframe - Fit Vestibule Buffer Rod - 
Motor,Completion,BUP,Underframe - Fit Yoke & Coupler Pin 
Motor,Completion,BUP,Underframe - Fit Yoke Follower Block 
Motor,Completion,BUP,Underframe - Fit Yoke Front 
Motor,Completion,BUP,Underframe - Fit Yoke Rear 
Motor,Completion,BUP,Underframe - Fit Yoke Rubber (Springs) - 
Baggage Van,Completion,BUP,Underframe Equipment -  Fit Coupler Knuckle Pin
Diner,Completion,BUP,Underframe Equipment -  Fit Coupler Knuckle Pin
